Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
30-JUL-2025,56310.1,56321.15,56064.55,56150.7,139650524,6484.04
31-JUL-2025,55728.15,56406.2,55547.35,55961.95,182793120,8710.55
01-AUG-2025,55897.15,56097.6,55562.1,55617.6,98888023,5412.38
04-AUG-2025,55557.5,55752.45,55437.3,55619.35,131113299,5603.22
05-AUG-2025,55545.05,55648.15,55202.85,55360.25,105715243,8349.26
06-AUG-2025,55329.8,55559.4,55227.7,55411.15,117597509,5603.16
07-AUG-2025,55215.65,55614.8,54973.55,55521.15,95473822,7276.11
08-AUG-2025,55609.35,55652.6,54905.6,55004.9,97278488,6115.9
11-AUG-2025,54999.35,55582.15,54927.55,55510.75,105180632,5551.53
12-AUG-2025,55441.1,55566.7,55001.5,55043.7,74654204,4460.93
13-AUG-2025,55340.05,55340.05,55026.95,55181.45,80068987,5057.23
14-AUG-2025,55102.55,55472.8,55074.3,55341.85,74186271,5318.26
18-AUG-2025,55940.6,56156.3,55647.65,55734.9,101715772,6271.46
19-AUG-2025,55622.3,55965.55,55608.15,55865.15,89334976,4838.22
20-AUG-2025,55751.5,55812.6,55577.35,55698.5,69080256,3929.98
21-AUG-2025,55972.05,55993.65,55708.2,55755.45,70335704,4599.75
22-AUG-2025,55669.25,55745,55102.6,55149.4,77141295,4904.87
25-AUG-2025,55147.75,55306,55048.4,55139.3,79872789,4868.15
